"Pdl","ItmSKU","PartNo","LstNo","Brand","Onhand","ohDays","Cost","Owner","PhoneExt","Branch","Consign","agedQ365","B.agedQ365 * A.cost"
"SP E","SP-MD212RD","","98584","IMICRO","15","500","19.5000","LILLZ","359","","Y","15","292.5000"
"MOSE","MO-C190RED","","98681","IMICRO","50","415","5.2000","LILLZ","359","","Y","10","52.0000"
"MOSE","MO-E230MC","","98699","IMICRO","2","500","6.3000","LILLZ","359","","Y","2","12.6000"
"KB E","KB-B33SIL","","98658","IMICRO","98","393","16.5000","LILLZ","359","","Y","97","1600.5000"
"KB E","KB-B33SIL","","98658","IMICRO","7","393","16.5000","LILLZ","359","","Y","7","115.5000"
"MOSE","MO-C170RED","","98665","IMICRO","17","393","7.9500","LILLZ","359","","Y","17","135.1500"
"MOSE","MO-C170RED","","98665","IMICRO","21","440","7.9500","LILLZ","359","","Y","21","166.9500"
"MOSE","MO-C170RED","","98665","IMICRO","14","393","7.9500","LILLZ","359","","Y","14","111.3000"
"MOSE","MO-C170IGR","","98666","IMICRO","13","393","7.9500","LILLZ","359","","Y","13","103.3500"
"MOSE","MO-C170IGR","","98666","IMICRO","10","393","7.9500","LILLZ","359","","Y","10","79.5000"
"MOSE","MO-C170IGR","","98666","IMICRO","11","393","7.9500","LILLZ","359","","Y","11","87.4500"
